total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,run_time_original_mip,run_time_callback_mip,run_time_total,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
105.2971097,105.2971097,108.4510151,0.02995244,5.984453201,5.98,144.03,5.98,150.01,24,12,12,12,2,2,"2,4,6,7,8,9,10,15,16,17,19,22"
104.608048,104.608048,107.6792625,0.029359256,9.014626026,9.01,144.03,9.01,153.04,24,12,12,12,2,2,"4,6,7,8,9,12,14,16,17,18,19,24"
105.8135179,105.8135179,108.9875237,0.029996222,5.163125038,5.16,144.03,5.16,149.19,24,12,12,12,2,2,"2,4,6,7,8,12,14,17,18,19,22,24"
105.8152975,105.8152975,108.8005151,0.028211588,7.501729012,7.5,144.03,7.5,151.53,24,12,12,12,2,2,"2,4,6,8,9,10,12,14,15,16,17,19"
106.2813056,106.2813056,109.465212,0.029957351,4.981276035,4.98,144.01,4.98,148.99,24,12,12,12,2,2,"2,6,7,12,14,16,17,18,19,22,24,25"
102.8787065,102.8787065,105.7114517,0.027534806,8.273196936,8.27,144.01,8.27,152.28,24,12,13,13,2,2,"2,4,6,7,8,10,12,15,17,18,22,24"
102.4507763,102.4507763,105.4680037,0.029450508,11.39050603,11.39,144.02,11.39,155.41,24,12,13,13,2,2,"2,7,8,10,12,14,15,17,18,19,22,25"
102.3422396,102.3422396,105.2634679,0.028543721,7.68866992,7.69,144.03,7.69,151.72,24,12,13,13,2,2,"6,7,8,9,10,12,15,17,18,19,24,25"
103.8274013,103.8274013,106.4781175,0.025530026,2.748591185,2.75,144.02,2.75,146.77,24,12,13,13,2,2,"2,4,6,7,8,9,10,12,15,19,22,25"
106.3060574,106.3060574,109.4787602,0.029844986,6.927845001,6.93,144.01,6.93,150.94,24,12,12,12,2,2,"2,6,7,9,10,14,15,16,17,18,24,25"
104.3259533,104.3259533,107.3188991,0.02868841,6.496062994,6.5,144.02,6.5,150.52,24,12,12,12,2,2,"6,8,12,14,15,16,17,18,19,22,24,25"
104.2716005,104.2716005,107.1236562,0.027352181,8.371691227,8.37,144.04,8.37,152.41,24,12,12,12,2,2,"2,6,7,8,12,14,15,16,17,18,19,24"
103.505461,103.505461,106.5904735,0.029805312,2.407423019,2.41,144.02,2.41,146.43,24,12,13,13,2,2,"2,4,6,7,10,12,16,17,18,19,22,25"
99.40341884,99.40341884,102.3636282,0.029779754,3.395949125,3.4,156.01,3.4,159.41,24,13,14,14,2,2,"2,6,7,8,10,12,14,15,16,18,19,22,24"
103.4238995,103.4238995,106.4259717,0.029026872,6.819393873,6.82,156.02,6.82,162.84,24,13,13,13,2,2,"2,6,7,9,12,14,16,17,18,19,22,24,25"
103.2742,103.2742,106.1057562,0.027417848,7.868444204,7.87,156.01,7.87,163.88,24,13,13,13,2,2,"2,4,6,7,10,12,14,15,16,17,18,19,22"
102.7762275,102.7762275,105.0002474,0.02163944,3.452089071,3.45,156.05,3.45,159.5,24,13,13,13,2,2,"4,6,7,8,9,10,12,14,15,16,17,19,22"
101.5658255,101.5658255,104.4257138,0.028157978,2.986372948,2.99,156.01,2.99,159,24,13,13,13,2,2,"2,6,8,9,10,12,14,15,16,17,18,19,22"
101.934429,101.934429,104.922019,0.029308939,6.263944149,6.26,156.01,6.26,162.27,24,13,13,13,2,2,"2,4,6,7,8,10,12,14,15,17,18,22,24"
103.1155975,103.1155975,106.2090018,0.029999383,138.1,138.1,156.01,138.1,294.11,24,13,13,13,2,2,"4,6,8,9,10,12,14,15,17,19,22,24,25"
100.4578005,100.4578005,103.4359046,0.029645325,3.49,3.49,156.09,3.49,159.58,24,13,14,14,2,2,"4,6,8,9,10,12,14,15,16,17,18,19,25"
101.8759755,101.8759755,104.5675868,0.026420471,5.621656179,5.62,156.03,5.62,161.65,24,13,13,13,2,2,"2,6,7,8,9,12,14,16,17,18,19,22,24"
101.4690873,101.4690873,104.1316791,0.026240424,3.695431948,3.7,156.2,3.7,159.9,24,13,14,14,2,2,"4,6,7,8,9,10,12,14,15,16,19,22,25"
102.4829622,102.4829622,105.5035654,0.029474199,3.635844946,3.64,156.02,3.64,159.66,24,13,13,13,2,2,"2,6,9,10,12,14,16,17,18,19,22,24,25"
102.0653253,102.0653253,104.4220417,0.023090274,3.765270948,3.77,156.09,3.77,159.86,24,13,13,13,2,2,"2,4,6,8,9,10,14,15,16,17,19,22,25"
101.9240085,101.9240085,104.7633863,0.027857792,3.33585,3.34,156.01,3.34,159.35,24,13,14,14,2,2,"4,6,7,9,10,12,15,16,17,18,19,24,25"
104.4610541,104.4610541,107.4713563,0.02881746,5.639893055,5.64,156.02,5.64,161.66,24,13,13,13,2,2,"2,4,6,7,10,14,15,16,17,18,19,24,25"
101.8374745,101.8374745,104.6887543,0.027998336,4.728020906,4.73,156.02,4.73,160.75,23.55357143,13,13,13,2,2,"4,6,8,9,10,12,14,15,17,18,19,22,24"
102.0618931,102.0618931,104.8204425,0.027028201,4.141773939,4.14,156.02,4.14,160.16,24,13,13,13,2,2,"6,7,8,9,10,14,16,17,18,19,22,24,25"
101.4395567,101.4395567,104.053613,0.025769595,4.207922935,4.21,156.01,4.21,160.22,24,13,13,13,2,2,"4,6,8,9,10,12,14,16,17,18,22,24,25"
104.1250974,104.1250974,107.1382512,0.028937825,6.497400045,6.5,156.01,6.5,162.51,24,13,13,13,2,2,"4,6,7,9,10,14,15,16,17,18,19,24,25"
102.8526804,102.8526804,105.8614854,0.029253541,3.152523041,3.15,156.01,3.15,159.16,24,13,13,13,2,2,"2,4,6,7,8,9,10,12,14,16,19,24,25"
101.5378062,101.5378062,104.5555579,0.029720473,3.580303907,3.58,156.02,3.58,159.6,24,13,13,13,2,2,"6,8,9,10,12,14,15,16,18,19,22,24,25"
98.61709933,98.61709933,100.7821449,0.021954059,7.157917023,7.16,168.02,7.16,175.18,24,14,14,14,2,2,"2,6,7,8,9,10,12,14,15,16,17,18,19,22"
99.13071211,99.13071211,101.3864611,0.022755299,2.669703007,2.67,168.01,2.67,170.68,24,14,14,14,2,2,"2,6,7,8,9,10,12,14,17,18,19,22,24,25"
97.65160485,97.65160485,100.5222862,0.029397175,9.368938923,9.37,168.04,9.37,177.41,24,14,15,15,2,2,"2,6,7,8,9,10,12,15,16,17,18,19,24,25"
99.89514472,99.89514472,102.3032218,0.024106048,2.968466043,2.97,168.01,2.97,170.98,24,14,14,14,2,2,"2,4,6,8,9,12,14,15,16,17,18,19,24,25"
100.383267,100.383267,103.0516272,0.026581722,4.725367069,4.73,168.01,4.73,172.74,24,14,14,14,2,2,"4,7,8,10,12,14,15,16,17,18,19,22,24,25"
97.65735265,97.65735265,99.75804697,0.021510867,2.585573912,2.59,168.02,2.59,170.61,24,14,15,15,2,2,"2,4,6,7,8,9,10,12,15,16,18,19,22,24"
100.1672489,100.1672489,102.7845273,0.026129083,3.131614923,3.13,168.01,3.13,171.14,24,14,14,14,2,2,"2,4,7,8,9,10,12,15,16,17,18,22,24,25"
