total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
110.2946112,110.2946108,113.5423395,0.029445941,95.708637,95.71,0.33548317,10,10,10,2,2,"4,7,8,10,14,18,19,22,24,25"
105.9711486,105.9711483,114.2190764,0.077831827,1200.200928,1200.2,0.317211516,10,11,11,2,2,"2,4,8,10,12,16,18,19,22,24"
104.6340515,104.6340512,113.2551852,0.082393197,1200.199363,1200.2,0.37475469,11,12,12,2,2,"7,8,9,10,12,15,16,17,18,22,25"
106.6560221,106.6560218,112.5232825,0.055011059,1200.248767,1200.25,0.28347945,11,11,11,2,2,"2,7,9,10,12,16,17,18,19,22,24"
109.3589055,109.3589051,113.3737832,0.03671286,1200.032046,1200.03,0.363097408,11,11,11,2,2,"2,4,6,9,10,14,15,16,17,24,25"
107.5938794,107.5938791,112.5025145,0.045621884,1200.083169,1200.08,0.362022489,11,11,11,2,2,"2,6,8,9,12,14,16,17,19,24,25"
107.9501928,107.9501925,113.3423597,0.04995051,1200.190395,1200.19,0.310018769,11,11,11,2,2,"2,4,6,7,8,10,14,16,17,19,24"
105.3088873,105.3088869,113.715016,0.079823549,1200.057074,1200.06,0.376904526,11,12,12,2,2,"2,6,7,8,10,14,16,18,19,22,25"
105.5027807,105.5027802,113.7790707,0.078446184,1200.443793,1200.44,0.436777179,11,12,12,2,2,"2,4,7,9,10,12,15,17,19,22,25"
106.0536618,106.0536614,112.2493662,0.05842047,1200.180571,1200.18,0.362022489,11,11,11,2,2,"7,8,9,10,12,15,17,18,19,24,25"
104.9612031,104.9612028,113.1150518,0.07768441,1200.322417,1200.32,0.376904526,11,12,12,2,2,"2,7,10,12,14,16,17,18,19,22,25"
108.7348948,108.7348944,112.3958955,0.033669055,1200.189226,1200.19,0.355228475,11,11,11,2,2,"4,7,8,9,10,12,14,18,19,24,25"
107.12469,107.1246896,113.5403359,0.05988952,1200.075295,1200.08,0.363096564,11,11,11,2,2,"2,6,7,8,10,12,16,17,22,24,25"
108.3035135,108.3035131,112.3861197,0.037695976,1200.241152,1200.24,0.362022489,11,11,11,2,2,"4,6,8,15,16,17,18,19,22,24,25"
106.4543987,106.4543983,112.0732348,0.052781628,1200.102628,1200.1,0.362022489,11,11,11,2,2,"7,8,9,10,15,17,18,19,22,24,25"
107.9020523,107.9020521,112.9580885,0.046857648,1200.104114,1200.1,0.27475469,11,11,11,2,2,"2,4,7,9,12,14,15,16,17,19,22"
107.092098,107.0920976,113.4781139,0.059631069,1200.157549,1200.16,0.382623619,11,12,12,2,2,"2,4,6,10,12,14,15,16,18,22,25"
